Symbol;H9_RPKM;FB_RPKM
IL17RB;3,02;4,71
FKBP14;8,1;6,03
FKBP15;4,15;5,05
UBE2J1;15,69;25,78
FKBP10;6,79;7,4
FKBP11;8,42;4,79
FBXO10;1,68;2,89
FBXO11;21,96;48,53
FBXO16;2,83;3,77
FBXO17;1,78;1,54
FBXO15;0,22;1,12
SFTA3;0;0,2
HBII-52-45;0;3,21
MIRLET7F1;1,67;1,27
CNGB1;0;0,69
KIAA2013;4,27;2,53
SNORD47;140,75;38,46
BCLAF1;76,73;59,44
PLA2G6;0,12;0,69
PLA2G7;2,15;0,28
PLA2G3;3,31;0,28
CCDC76;6,94;13,83
CCDC77;16,97;7,86
CCDC75;3,01;10,11
CCDC72;257,31;151,96
CCDC71;1,01;1,48
CCDC78;0,04;0,11
HIST3H2BB;0;0
SNORD4B;3,76;0,85
SNORD4A;5,14;1,98
LOC100506581;0,7;0,38
LOC100127888;0;0,04
FKBP1B;20,03;14,11
FKBP1A;89,2;52,51
KIAA1486;0;0,29
UNC50;26,55;27,5
NKAIN4;0,14;1,55
NKAIN3;0,22;2,55
NKAIN2;0,18;8,63
NKAIN1;8,71;12,15
MAP1A;0,21;8,39
MAP1B;25,58;202,83
IGSF9B;0,2;0,35
UNC5B;1,62;0,57
UNC5C;0,11;1,04
VGF;0,19;1,82
UNC5A;0,02;0,12
UNC5D;16,55;7,85
MAP1S;0,19;0,26
RPL18A;116,05;95,75
CLEC18A;0,01;0,02
CLEC18C;0;0,1
CLEC18B;0;0,14
MGC23284;0,11;0,36
CCDC21;10,73;6,92
ALOX12B;0,01;0,05
EPB41L1;2,61;13,93
PPCDC;1,31;0,67
EPB41L3;6,52;7,04
EPB41L2;42,61;12,78
EPB41L5;7,2;12,33
ACSS3;8,61;1,33
ACSS2;3,73;4,57
ACSS1;0,06;1,06
KIDINS220;12,79;96,02
PCOLCE2;3,82;1,49
DFNA5;2,2;10,54
MAGEH1;3,7;28,08
WNT3;0,4;0,23
WNT1;0;0,26
LRRN4;0,09;0,04
LRRN3;0,16;16,86
WNT6;0;0
LRRN1;117,12;50,7
WNT4;0,06;1,11
NCRNA00235;0;0
RNF175;2,77;8,65
RNF170;4,1;8,1
PCNA;184,38;135,23
ZBTB7A;0,88;0,77
ZBTB7C;0,03;0,77
ZBTB7B;0,34;0,12
PCNP;100,49;89,74
PCNT;2,26;3,99
PCNX;9,46;11,81
LOC442497;0,14;0
PACRG;0,07;2,45
UFD1L;18,62;12,93
ILF3;51,17;48,51
ILF2;227,7;134,99
BOK;1,78;0,47
BOC;0,03;6,92
FAM24B-CUZD1;2,56;0
DENND2C;1,56;0,29
DENND2A;1,78;6,23
DENND2D;0,66;0
PPT1;74,19;26,38
RABAC1;1,81;2,94
INPP4B;0,38;0,6
WHSC1L1;12,11;33,29
SAFB;25,77;29,23
TRNP1;11,89;2,35
KC6;2,84;4,3
NGLY1;14,66;11,67
LOC100288615;2,87;9,17
FAS-AS1;0,05;0,08
LMX1A;0;1,51
ZCCHC24;1,15;0,32
LMX1B;0;0,06
MRGPRF;0,44;0
ETV3L;0,09;0,01
KCP;0,03;0
CNR1;0,42;25,15
GBX2;0,03;0,1
GNL3L;6,46;3,85
LOC606724;0;0,11
TGS1;22,97;9,83
ANKS1B;0,86;5,71
ANKS1A;4,58;5,76
MIR1972-2;0;0
MIR1972-1;0;0
ADAM10;43,78;31,62
ADAM11;0,01;0,35
ADAM12;0,07;0,42
ADAM15;0,47;1,32
ADAM17;13,27;16,08
ADAM19;7,65;2,32
HAGH;1,25;2,22
G3BP1;132,91;55,3
U2AF1L4;1;2,5
NDEL1;9,82;6,52
SHANK3;0,17;0,83
SHANK2;2,06;4,31
SHANK1;0;0,57
PLAC8L1;0,52;1,19
PCSK9;1,35;0,05
PCSK2;0,02;3,93
PCSK1;0,41;10,12
PCSK6;0,44;0,88
PCSK7;3,32;2,62
PCSK4;0,01;0,1
PCSK5;0,99;0,59
SP140L;0,75;0,37
TC2N;9,92;0,11
PLTP;4,12;3,53
DPYSL4;0,92;8,24
SETBP1;0,44;13,24
SAMSN1;0,41;2,6
LOC100287482;0,27;1,88
DPYSL3;108,71;218,37
FAM151B;0,25;1,09
FAM151A;0,1;0
SNORD91B;0,95;0,23
SNORD91A;0,2;0,61
PAXIP1;14,19;7,43
VPRBP;11,33;9,77
RPL13AP5;544,46;439,5
USE1;0,57;1,8
CNRIP1;0,87;9,76
ARMCX5-GPRASP2;5,14;15,59
CDC34;3,65;4,52
CDC37;12,67;11,46
SPIN2A;2,03;2,66
SPIN2B;4,31;5,55
PGLS;1,14;1,9
WDR7;4,1;6,92
MRPL42P5;0,69;2,29
CCDC42B;0,14;0,13
DIAPH2;32,25;3,76
VPS24;6,84;23,62
CCNA1;0,54;5,78
DYNC1I1;0,54;5,41
VPS28;1,13;5,53
VPS29;50,32;48,7
TAS2R50;0,19;0,2
SKA3;25,27;11,79
SKA2;31,31;53,14
GRID2IP;0,06;0,01
PCDH20;0,41;3,12
SOX2OT;2,03;50,27
WDR8;1,69;2,29
C6orf81;0,21;0,71
C6orf89;3,64;10,38
PPP1R13B;0,8;2,78
PPP1R13L;0,64;0,13
LOC100128239;0,07;0,52
WNT10B;0,08;0,33
MIR147B;0;0
PYY;0,09;0,08
TM4SF18;5,33;0,07
TM4SF19;0,18;0,12
POU3F3;0;0,08
POU3F2;0,06;29,03
POU3F1;0,69;2,14
LAMB1;22,52;3,56
LAMB2;1,07;1,3
MPHOSPH9;14,97;13,29
MPHOSPH8;10,23;17,6
POU3F4;0;1,75
MPHOSPH6;32,54;23,78
MIR937;0;0,03
ASTN1;0,32;15,08
MIR933;0,15;0
MIR939;0,14;0,21
MGA;12,18;11,21
LOC729156;3,4;5,07
MGP;0;0,1
ADSS;53,41;25,37
SAMD4A;5,75;2,66
ADSL;67,01;22,13
SAMD4B;5,56;5,07
GAS2L1;0,07;0,08
GAS2L3;5,93;11,38
FAM53C;12,96;11,93
XRRA1;2,34;4,1
HN1L;60,65;38,65
ZW10;17,25;11,51
RSRC1;10,92;10,4
RSRC2;35,31;38,37
PYY2;0;0,03
CDADC1;1,1;2,94
NLGN2;3,08;18,14
ARHGAP44;3,23;1,55
CASQ1;0,41;0,96
NLGN1;3,36;6,93
CDC42EP3;11,95;8,11
CDC42EP2;0,7;0,48
CDC42EP1;0,04;0,04
CDC42EP5;0,07;0,03
CDC42EP4;2,13;18,64
TBKBP1;0,31;1,66
ABI2;35,49;64,52
ABI3;0,15;0
ABI1;13,99;13,86
TESC;0,3;0,2
OTP;0,01;0,52
PITPNC1;15,38;6,54
TIMP2;8,96;26,17
TIMP1;4,55;2,5
CLINT1;35,2;20,69
DMAP1;2,41;5,35
AHRR;0,2;0,32
LOC389023;3;0,32
ADCY5;0,22;1,36
ADCY6;0,81;5,02
ADCY7;1,6;2,07
ADCY1;1,66;5,28
ADCY2;11,26;3,54
ADCY3;2,98;4,06
ADCY8;0,27;0,38
ADCY9;0,96;1,44
NUCKS1;214,33;164,39
DDI2;13,59;4,04
XRCC1;3,11;6
XRCC3;1,88;2,08
XRCC2;12,98;12,59
XRCC5;316,6;173,89
XRCC4;9,94;6,42
XRCC6;285,01;139,65
MEIS3;0,22;3,84
MEIS2;0,07;100,65
MEIS1;0,09;18,14
PCDHAC2;6,03;16,5
PCDHAC1;6,24;16,72
DDX60;2,21;0,59
CTSL1;15,85;11,01
LOC100144603;0,2;0,24
CTSL2;19,98;1,35
H2AFY2;6,03;34,23
LOC100129858;0,12;0,59
KCNA7;0,01;0,02
KCNA4;0;2,82
KCNA5;0,01;0,95
KCNA2;0,04;1,71
KCNA3;0,18;2,21
KCNA1;0,02;2,83
OPTN;2,57;11,55
BHMT;0,39;5,12
OPTC;0,04;0,04
MCCC2;6,14;0,9
FTO;10,95;18,5
ACACA;19,55;18,2
ACACB;0,84;1,02
ZDHHC3;4,78;3,34
PLA2G2A;0,36;0
DEM1;2,83;3,96
CYFIP1;13,11;9,73
CYFIP2;9,06;24,93
GUSBP4;0,08;0
GUSBP1;0,61;1,8
GUSBP3;0,46;0,58
LHPP;2,06;1,32
LOC284749;0;0,07
NUP188;17,24;10,88
SETMAR;8,59;8,28
GLT8D2;3,76;1,35
GLT8D1;20,54;21,42
RUNDC2A;0,25;0,9
REG1A;0,28;0,14
HES1;2,11;15,48
TTC39A;2,06;0,33
BPNT1;5,42;6,37
ABHD14A-ACY1;1,71;0,62
BCL9;8,02;14,07
BCL6;0,6;1,58
BCL3;0,05;0,11
BCL2;0,68;6,61
NPEPL1;1,14;3,91
CLMN;0,75;1,38
CLMP;10,64;0,54
MTM1;4,17;5,52
CSNK1G2;1,63;1,6
SERPINB8;0,74;0,93
MOSPD3;0,31;1,15
CSNK1G1;4,55;6,01
SERPINB1;15,41;0,62
SERPINB3;0,71;0
SERPINB2;0;0,01
SERPINB4;3,11;0
SERPINB6;13,49;5,95
FAM76B;8,2;15,04
FAM76A;4,27;3,59
EXD3;0;0,04
EXD2;7,01;7,76
ELP4;10,99;15,31
ELP3;10,76;11,92
ELP2;59,17;28,93
SPRYD3;0,47;2,11
SPRYD4;4,66;2,42
KLHDC9;1,8;2,84
KLHDC4;2,77;2,15
KLHDC5;7,52;20,06
KLHDC2;29,61;30,45
KLHDC3;20,29;19,54
PRINS;0,15;0,03
ASXL1;3;17,99
ASXL3;0,3;5,69
ASXL2;10,7;4,68
PAR5;53,06;12,2
HDDC2;39,76;19,68
HDDC3;5,54;3,14
SPATA13;5,67;7,59
SPATA12;0,14;0,04
SPATA17;0,43;2,16
SPATA18;1,23;0,75
VCP;98,38;51,88
CEP170P1;5,55;16,15
ZNF214;1,27;2,89
CROCCP3;1,15;3,89
RINL;0,72;0,07
HFE;0,31;0,13
GPR146;0,02;0,12
GPR143;4,73;0,52
SLC7A9;0,05;0,23
GPR149;0,03;1,59
SLC7A6;12,02;14,61
TRAK2;7,31;5,59
CITED2;11,05;14,74
CITED1;0,06;0,53
SLC7A4;0;0,01
CITED4;0,1;0,07
DAGLA;0,18;0,35
DAGLB;2,65;2,84
PHF21A;3,02;10,3
SLC7A1;18,18;8,09
HIRA;9,31;8,17
RIN1;0,01;0,01
RIN3;0,03;0,05
RIN2;0,12;2,19
WWOX;1,28;3,37
RIPK1;9,96;3,81
RIPK2;12,8;3,73
SRCIN1;0,01;1,72
C2orf27A;0,77;1,93
CRABP1;34,73;72,12
CRABP2;10,3;13,53
C7orf70;12,48;11,39
ZNF419;5,48;11,08
ZNF418;5,18;8,6
ZNF417;5,61;8,18
ZNF416;4,01;3,74
ZNF415;3,63;7,2
ZNF414;0,04;0,09
ZNF410;12,24;20,25
GLIPR2;2,33;3,37
GLIPR1;11,91;6,59
FAM71F2;0,07;0,87
SSSCA1;1,25;0,66
POU4F1;0,1;0,41
POU4F2;0,03;0,63
FBF1;0,57;0,81
RASA4;0,26;3,64
HM13;6,37;9,23
RASA2;11,72;9,65
RASA3;3,64;3,35
ACTN3;0,3;0,01
ACTN2;0,59;0,87
ACTN1;25,13;5,26
NGFRAP1;182,02;198,72
ACTN4;11,28;5,79
EZR;80,82;20,59
MIR4269;0;0
MIR4263;0,13;0
LOC100526820;0,35;2,86
N6AMT1;4,11;6,8
N6AMT2;3,19;5,29
ABLIM1;14,4;8,86
ABLIM3;0,11;5,39
ABLIM2;0,1;0,87
UBXN6;1,15;2,67
FAM172A;3,35;15,64
LOC729082;49,96;32,22
BIVM-ERCC5;10,71;19,74
GSTZ1;2,86;1,02
RAB6A;43,14;51,56
RAB6B;1,01;18,14
RAB6C;0,59;1,28
GDI2;271,54;156,43
GDI1;9,94;63,55
CALM3;43,72;95,56
TTC30B;1,71;4,19
TFAP4;1,47;1,36
SPG20;22,63;23,82
NAPEPLD;3,26;9,79
HGSNAT;1,57;11,45
CRYZL1;8,73;22,61
SERF2;6,6;12,97
NAT9;2,44;4,26
NAT8;0;0,27
NAT2;3,26;0,2
NAT1;2,23;0,41
NAT6;0,2;0,45
FAIM2;0;2,05
CCBL1;2,53;2,19
CCBL2;35,95;20,81
COX5A;184,08;83,97
COX5B;46,89;30,16
