Symbol;H9_RPKM;FB_RPKM
PTK2;41,99;38,52
PTK7;4,94;3,52
PTK6;0,02;0,14
PRKAA2;4,5;7,93
PRKAA1;8,04;13,36
ITGB3BP;43,19;23,27
ATG16L1;7,7;6,12
ATG16L2;0,17;1,04
C4orf52;38,62;14,4
C15orf62;0,28;0,73
C15orf63;12,95;7,15
C15orf61;1,02;2,2
DDX23;17,1;15,64
DDX21;149,03;21,46
DDX20;19,55;12,25
DDX27;19,77;8,79
ZNF157;0,52;1,67
ZNF154;4,27;11,25
ZNF155;3,59;3,81
DDX28;2,9;1,59
RAB3IP;5,65;6,26
C20orf12;1,75;3,42
C20orf11;20,79;17,14
PDPN;32,86;17,86
PARD6G;4,49;5,28
TRUB1;15,16;12,07
TRUB2;7,31;4,31
PARD6B;2,85;1,47
PARD6A;0,22;0,41
SNORD42B;1,71;1
SNORD42A;1;0,8
PEX26;5,13;6,32
SPEN;6,39;15,07
SPEG;0,11;0,31
MANEAL;1,15;6,05
FLJ12334;0,04;0,07
STOML2;33,87;19,44
PAIP1;53,21;56,74
SLC15A3;0,57;0,21
FBLIM1;6,01;0,92
TIMM8A;12,25;4,97
TIMM8B;33,39;26,47
DAXX;0,11;0,08
NT5M;0,38;0,7
NT5C;1,35;1,26
NT5E;0,66;0,09
DSCR9;0,07;0,25
GNAS;51,23;112,06
DSCR6;0,62;0,41
PTCD2;6,64;3,32
PTCD3;32;15,11
GNAZ;0,96;8,63
PTCD1;2,91;2,56
GNAL;6,74;8,63
AGFG2;0,13;0,47
AGFG1;20,47;16,14
ASNA1;6,33;4,45
CRYGS;0,51;4
FST;2,73;3,17
SIX2;0,13;0,05
CRYGN;0,06;0
CRYGB;0,2;0
CRYGD;0;0,62
RRNAD1;1,16;1,38
PP14571;0,05;0,66
NMNAT2;4,1;21,77
NMNAT3;0,61;2,06
NMNAT1;1,23;2,52
UBE2I;61,37;44,15
NCCRP1;0,14;0,06
PLEKHM1;0,18;0,52
PLEKHM2;1,39;1,85
PLEKHM3;1,96;4,26
FAM72D;15,17;7,56
SLC43A3;3,37;0,74
SLC43A2;0,34;2,01
SLC43A1;2,73;0,18
UBE2O;3,08;4,24
UBE2N;77,9;59,06
GPAA1;0,32;0,89
SNORA46;0;0,72
SNORA47;0;0,21
SNORA44;3,62;1,38
SNORA45;4,46;0,9
SNORA42;0,6;0,2
SNORA43;0,46;0,24
SNORA40;47,78;12,16
SNORA41;1,86;1,26
GPRIN2;0,14;0,16
GPRIN3;0,35;2,13
GPRIN1;1,11;8,33
ROGDI;0,63;1,5
SNORA48;1,38;1,68
SNORA49;0,57;0,43
HIST2H2BC;0,48;0,78
HIST2H2BF;0,01;0,28
HIST2H2BE;0,49;16,63
SLC44A1;39;9,12
SLC44A2;10,42;31,07
SLC44A3;1,82;0,26
SLC44A5;1,6;19,45
MSI2;4,78;23,17
MSI1;1,08;10,78
ENGASE;0,64;1,44
ZFHX4;0,27;12,18
ANKFN1;0;0,68
SHOX2;0,02;0,14
COQ9;5,2;7,95
ISY1-RAB43;3,41;2,52
COQ5;27,09;17,91
C1R;0,96;0,27
COQ7;5,41;9,37
COQ6;2,15;4,12
COQ3;20,03;6,91
COQ2;14,77;6,64
MUC20;0;1,24
FLAD1;4,68;2,74
TPX2;74,82;73,77
WWC3;6,44;4,17
WWC2;24,45;3,77
WWC1;2,93;1,03
GPR107;15,3;17,53
GPR108;1,15;2,39
MFAP3L;2,48;1,54
SCNN1G;0,08;0,03
MGMT;1,22;0,56
RNF8;6,92;4,67
RNF6;6,55;7,15
RNF7;34,39;19,32
RNF4;22,67;13,75
RNF2;21,92;18,99
APP;206,89;125,87
LRRC69;0,84;0,28
LRRC61;0;0,04
LRRC67;0,09;0,45
LRRC66;0,04;0,21
C7orf36;21,29;18,84
C7orf34;0,07;0,13
C7orf31;0,96;2,24
C7orf30;42,68;11,92
EPM2A;2,34;3,88
FAM118A;5,05;10,84
FAM118B;23,34;10,43
LOC100505912;0,49;1,12
RECQL;29,65;14,8
ACTR8;8,17;12
ACTR6;25,52;22,61
ACTR5;5,35;4,24
UQCRC1;17,11;15,8
ACTR3;85,37;81,56
ACTR2;104,03;100,38
GNRHR;0,04;0,71
SPINK13;0;0,16
HYDIN;0,12;1,16
TMEM90B;0,27;0,28
TMEM90A;0,04;0,4
RAPGEFL1;1,19;2,18
GTDC1;7,14;5,13
ABI3BP;0,16;0,2
GGCT;84,47;29,85
IDUA;0,04;0,28
GNRH2;0;0,02
GNRH1;1,66;5,8
A1BG-AS1;0,32;1,17
MIR671;0;0,12
MIR675;0;0
WNT8A;0;0,04
WNT8B;0,31;6,94
GDE1;27,99;21,01
HIPK3;6,5;9,3
HIPK2;3,41;19,21
HIPK1;14,09;15,07
LEMD3;14,97;12,31
LEMD2;4,94;7,47
LEMD1;0,95;6,4
NAPG;11,91;12,69
C3orf19;5,2;6,78
C3orf18;0,7;1,75
NAPA;5,42;7,28
C3orf15;0,6;7,6
C3orf14;15,53;35,89
C3orf17;18,46;16,3
C3orf10;84,03;85,34
LARP1;51,69;27,69
LARP4;25,99;14,54
LARP6;3,78;4,51
LARP7;298,57;25,9
GPATCH3;1,97;1,34
COL15A1;0,02;0,14
LMLN;1,31;3,6
ATMIN;25,09;23,45
LGR5;0,05;1,38
LGR4;36,09;16,64
LGR6;0,11;0,01
CDKN1C;0,96;4,69
CDKN1B;9,99;47,2
CDKN1A;5,28;8,13
OTX2OS1;0;0,4
TMEM125;2,22;0
FOXJ1;0,05;0,38
FOXJ2;2,16;6,66
FOXJ3;15,45;16,89
TMEM121;0;0,08
TMEM123;45,37;77,49
TMEM129;0,79;0,91
TMEM128;12,28;14,43
SLC35B1;30,71;24,34
SLC35B3;7,6;8,49
SLC35B2;3,75;5,35
SLC35B4;13,01;15,07
IGFBP6;0,29;0,12
LOC282997;0,86;1,35
PELP1;6,04;3,77
LOC415056;0;1,08
LOC284232;0,44;0,39
S100A9;0,05;0
BIRC6;14,28;15,64
BRWD3;9,83;8,9
BRWD1;9,31;15,82
S100A1;0,16;0,13
LONRF3;0;0,17
LONRF2;0,19;10,57
LONRF1;24,86;21,46
TCFL5;6,52;7,54
AIP;0,43;1,69
KIAA1609;3,46;4,5
ARL2-SNX15;4,67;4,3
FAM60A;218,07;49,4
ANKRD10;23,27;35,46
LRRIQ1;0,25;2,5
LRRIQ3;0,11;0,13
ADAT1;5,72;5,81
ADAT3;0;0
ADAT2;4,1;2,28
LOC100134317;0,16;0,31
BRI3BP;3,15;3,02
TUSC1;0,56;0,85
TUSC2;8,73;10,74
TUSC3;23,57;37,11
RPGR;3,82;2,95
LOC100131366;1,35;0
GNG10;55,59;44,45
GNG11;6,12;3,83
GNG12;35,51;4,28
GNG13;0,02;0,12
URB2;8,04;3,73
URB1;4,72;2,12
RIMBP3B;0,01;0,08
RIMBP3C;0,01;0,08
SEC24D;23,54;4,23
SEC24A;15,3;9,59
SEC24C;15,38;15,33
SEC24B;15,54;17,06
KAL1;42,02;30,31
C16orf92;0,1;0,25
C16orf93;0,14;0,54
C16orf91;0,67;0,39
ZNF699;1,73;5,06
ZNF691;5,39;5,34
ZNF692;1,36;4,5
ZNF695;4,73;2,15
ZNF697;10,47;12,34
ZNF696;1,45;2
COPZ1;52,6;74,4
COPZ2;0,1;0,26
RUVBL1;58,2;23,43
RUVBL2;4,85;4,05
LOC389634;0,09;0,04
SNORD58A;10,92;7,29
SNORD58C;13,64;6,27
SNORD58B;136,79;50,92
MNS1;3,02;5,32
SHB;0,99;1,67
SHD;0;1,1
SHE;0,12;0,04
SHF;0,9;2,17
PHEX;0,09;0,24
DYNC2H1;6,16;7,15
FAM157B;0,06;0
NUDCD2;42,64;23,78
NUDCD3;6,25;8,9
NUDCD1;29,06;8,86
GMNN;81,79;35,18
LUM;0;2,21
ZNF343;0,55;4,44
ZNF341;0,25;0,34
ZNF347;4,96;5,11
ZNF346;3,58;6,38
ZNF345;2,46;4,12
NUDT12;8,8;13,54
DLL1;0,08;6,03
NUDT10;11,67;14,8
NUDT11;19,07;31,34
DLL4;0;0,09
NUDT17;0,65;0,81
NUDT14;0,18;0,6
NUDT15;55,26;14
NUDT18;0,04;0,14
NUDT19;1,77;0,92
STX8;17,11;15,88
IFI6;0,63;3,38
STX3;13,89;1,69
STX2;10,19;15,03
STX5;4,14;7,37
STX4;2,78;2,97
STX7;14,09;31,24
LOC285626;0,04;0,02
RPS3A;2021,6;1499,06
LGI4;0,2;0,22
LGI1;0;3,68
LGI2;1,31;4,86
DRG2;4,03;3,11
DRG1;52,84;35,01
GNPTG;1,99;3,44
TCP11;0;0,1
TBC1D22B;6,27;5,33
TBC1D22A;0,62;0,95
NKTR;30,86;55,63
TMEM140;5,82;4,15
KIF2A;39,18;43,68
KIF2C;27,98;21,47
ENSA;35,15;27,63
FLJ35390;0,03;0,19
BRCA1;10,33;11,55
BRCA2;7,81;4,57
KIF24;1,2;3,52
KIF27;1,75;4,36
KIF23;45,54;22,33
KIF22;11,18;11,57
JKAMP;18,59;20,6
PTPLAD2;2,87;0,75
PTPLAD1;111,37;76,96
SMURF1;7,54;6,67
SMURF2;13,4;14,55
TFRC;80,43;28,94
LOC647310;0;0,06
TFR2;0,07;0,23
DNAJC25-GNG10;46,49;37,19
YY1;36,79;26,57
YY2;0,46;0,79
SNORD89;2,06;2,87
SNORD87;24,44;20,38
SNORD86;5;4,22
SNORD85;0,07;0
SNORD82;0,56;0
SNORD81;47,92;17,49
SNORD80;37,51;15,09
SYCE2;1,2;1,72
FAM106C;0,19;0,98
FAM106A;0,09;1,01
CCDC38;0,02;0,18
CCDC39;1,73;6,26
CCDC33;0,01;0,09
CCDC30;0,07;2,03
CCDC37;0;0,33
CCDC34;10,11;10,62
LOC100506548;17,57;32,04
SARS2;1,1;0,64
NECAP1;9,47;33,01
NECAP2;8,45;6,02
KYNU;0,17;0,03
UVRAG;6,08;10,48
COPG2;35,81;36,32
PDZK1;0,28;0,41
GTPBP5;0,28;0,61
GTPBP4;58,91;22,85
GTPBP6;0,06;0,19
GTPBP1;5,05;5,42
GTPBP3;2,56;1,57
GTPBP2;5,99;6,56
GTPBP8;11,65;6,3
TIPIN;20,5;8,79
KLHL25;0,38;1
TMEM88;0,28;0,53
PLK1;21,28;12,12
PLK3;0,52;1,29
PLK2;40,85;28,76
PLK4;20,93;10,62
STX16-NPEPL1;8,07;9,21
GPR75-ASB3;13,56;15,15
KLHL23;30,04;33,18
KIAA0391;30,45;11,83
KLHL29;0,49;4,8
PCGF1;2,99;3,52
SMO;3,28;5,07
PCGF3;7,15;16,95
PCGF2;5,24;8,16
PCGF5;1,21;4,26
PCGF6;15,1;8,1
LOC613038;0,01;0,03
MAGED1;21,03;104,81
MAGED2;30,26;78,32
MAGED4;4,26;27,32
ATP8B3;0,09;0,13
ATP8B2;5,08;4,21
ATP8B1;0,63;0,1
ATP8B4;0,1;0,14
STC1;4,25;1,61
STC2;12,69;2,18
NCRNA00275;78,1;69,61
NCRNA00271;0;0,25
DPPA2;6,1;0,11
DPPA3;0,3;0,03
DPPA4;281,78;4,83
DPPA5;0,33;0
LY75-CD302;2,29;0,67
ZBTB39;8,45;6,79
ZBTB38;3,77;3,4
NEUROG1;0;1,45
ZBTB32;0,01;0,05
C1orf135;11,22;3,14
ZBTB34;6,11;6,58
ZBTB37;1,91;3,74
SMC1A;21,68;27,43
DKFZP686I15217;0,95;0,97
SMC1B;0,08;0,03
MDK;12,38;25,43
AGAP11;0,44;0,16
SGTB;6,68;6,79
SGTA;2,8;4,37
TRIM46;0,07;0,68
TRIM47;0,25;0,04
TRIM44;22,36;35,44
TRIM45;3,45;4,02
TRIM41;1,41;3,59
IVD;7,32;5,33
NRD1;71,57;47,44
NEB;0,38;0,14
DIO3OS;0;0,21
NES;43,16;96,39
AURKAIP1;1,29;1,39
AFMID;3,49;2,16
PFDN1;38,17;29,09
PFDN2;35,06;32,53
PFDN5;108,92;128,15
PFDN4;55,51;21,22
PFDN6;0,04;0,04
MTHFR;0,59;2,06
MTHFS;5,02;1,07
DTNB;6,37;5,28
DTNA;5,26;4,37
PDE4DIP;2,25;9,1
LATS2;4,12;1,98
LATS1;7,64;10,4
DDOST;44,78;22,5
ODZ3;12,68;15,44
ODZ2;0,19;1,86
ODZ1;1,54;11,88
LOC202181;1,25;4,81
MCOLN1;0,42;0,52
MCOLN3;0,88;0,13
MCOLN2;1,49;0,06
CCDC144NL;0,44;1,28
LOC285359;0,45;0,89
LOC646214;1,14;1,47
LASS1;0,25;0,58
LASS2;46,32;16,64
LASS4;3,65;4,38
LASS5;15,48;22,42
LASS6;13,22;33,83
LOC25845;1,29;4,29
RTN4R;0,11;0,05
NR5A2;2,1;0,1
PRSS35;0,76;2,55
MUTED;9,88;8,75
TAF1A;4,39;6,66
DLX4;0,13;0,03
C13orf23;31,55;16,24
MON2;6,29;11
CDR2L;1,17;0,76
POC1B-GALNT4;2,86;1,44
C13orf27;9,59;10,74
LOC284009;0,06;0,36
HMGN5;15,81;5,47
HMGN4;53,91;38,61
HMGN3;89,5;81,13
HMGN2;225,45;473,65
HMGN1;377,9;334,45
MX2;1,98;0,68
MX1;0,9;0,04
NACA;94,15;65,04
CHL1;0,08;32,92
CRIPT;7,8;9,93
EFTUD2;31,31;15,63
EFTUD1;17,7;10,24
CPPED1;2,53;0,8
PIM2;44,78;1,71
FAM89A;0,29;1,65
CBY1;9,37;14,4
CBY3;0;0,07
TMEM8B;0,73;2,77
ERLIN1;20,91;11,6
ERLIN2;17,91;10,88
CRIP1;0;0,18
CRIP3;4,12;0,41
CRIP2;0;0,36
NUDT16L1;1,39;3,15
PLP1;55,88;12,49
PLP2;2,72;0,8
LOC100270804;0,6;2,04
C10orf11;0;0,53
C10orf12;2,53;3,5
C10orf18;21,71;12,65
FAM41C;0,65;0,9
HENMT1;3,89;0,29
PGM5P2;1,15;1,35
CPSF7;24,88;32,22
CPSF6;42,43;64,56
CPSF4;6,32;6,55
CPSF3;71,31;35,84
CPSF2;41,9;17,64
CPSF1;0,59;1,66
MAD1L1;0,63;0,93
TTLL5;8,79;5,86
TTLL4;10,43;5,69
TTLL7;2,41;11,43
TTLL6;0,86;0,12
TTLL1;1,62;6,62
TTLL3;0,14;2,12
TTLL2;0,15;0,27
TTLL9;0;0,83
FAM126A;52,76;12,33
FAM126B;2,01;7,35
DBF4;26,75;13,35
CCNE2;6,1;14,5
CCNE1;13,65;2,81
GCC2;17,09;7,92
GCC1;5,34;4,06
TBC1D8B;1,42;0,4
CYTL1;3,51;0,03
C6orf48;0,56;0,25
LOC374491;0,25;0,16
MIR205;2,6;0
DAB2IP;1,34;3,15
MIR20A;0;0
MIR20B;0,11;0
NDRG2;2,43;7,51
FAM192A;23,91;33,46
C13orf33;1,47;0
C13orf31;3,3;0,78
C13orf30;0,04;0,48
C13orf36;0,62;0,26
C13orf34;14,19;12,63
C13orf38;9,02;2,06
TTPA;0,2;1,03
KLKB1;7,67;0,03
MCC;1,75;7,8
NISCH;3,09;7,35
RLN1;0,49;0,15
RLN2;3,1;0,46
MIR1291;0,93;0,38
MIR1292;0;0
MIR1297;2,06;0
MIR1296;0;0,02
VIL1;0,79;0,04
MDM1;2,45;6,38
MDM2;38,4;20,62
MDM4;6,44;11,66
CPB2;0,09;0,23
WWTR1;5,48;4,2
WDR91;1,57;1,79
SYNGR2;1,19;0,52
CRX;0,01;0,03
WDR96;0,04;1,35
CRK;25,02;20,53
CRH;0;3,43
LOC440335;0;0,02
LOC100506730;1,97;5,48
RTN4IP1;8,3;2,62
ROMO1;8,97;7,66
SGOL1;6,56;5,14
SGOL2;17,45;17,84
CR2;1,94;0
ASPSCR1;0,41;0,45
GPD1L;2,83;7,03
ARNTL2;14,23;4,91
RPPH1;0;0
CD63;112,77;57,61
CD68;0,28;0,68
SHCBP1;8,04;5,1
SRP68;36,49;21,22
GABPA;12,41;17,51
AOX1;2,4;0,19
TIMM9;32;17,54
NOC4L;0,19;0,34
PKN1;1,27;2,39
PKN3;0,41;0,55
PKN2;16,09;22,27
MIR564;0;0
MIR561;0,07;0
MIR563;0,43;2,04
MIR569;0,24;0
MIR568;0;5,61
KCNE2;0,31;0,55
KCNE3;1,72;0,02
NGDN;20,23;14,26
DNASE2;5,11;1,58
DNASE1;0,67;2,33
CSNK1D;9,21;15,06
CSNK1E;10,94;16,9
ISCU;37,6;23,28
MRS2P2;0,01;0,03
EHBP1L1;0,57;0,94
ADAMTS20;2,74;1,03
C9orf68;0,55;0,29
C9orf69;1,05;1,3
GLIS2;0,26;0,5
GLIS3;0,09;1,47
BCHE;4,33;8,73
DCP1B;5,88;6,12
DCP1A;6,07;9,73
G6PD;0,77;1,55
ERV3;4,41;31,05
LOC150568;0,04;3,78
ERP44;15,47;11,96
SERPINF1;3,7;2,99
SERPINF2;0,04;0,02
VPS26A;27,04;32,85
VPS26B;5,55;16,18
SREBF2;14,39;28,75
SREBF1;0,54;1,84
OXCT1;24,99;27,11
OXCT2;0,21;0,11
CIC;0,34;1,76
SRC;1,53;4,41
CIT;6,99;6,51
SRF;6,24;4,15
ZNF320;9,2;9,48
FOXO3B;3,5;5,62
MTA1;7,87;9,2
MTA2;14,7;22,28
MTA3;79,28;18,93
CUBN;0,02;1,48
HEPH;16,3;5,81
MTAP;27,1;7,3
C2orf49;12,12;11,84
C2orf48;0,5;1,28
C2orf44;12,65;7,93
C2orf47;17,64;6,47
NPPA-AS1;3,42;5,23
C2orf43;12,03;16,05
C2orf42;2,05;3,39
OR52B6;0;0
FLJ12825;0,04;0,17
GPR180;3,64;4,01
GPR182;0,01;0,02
GPR183;0,06;0
MEIS3P1;5,24;2,17
FAM59A;1,72;0,84
FAM59B;0,89;3,52
PAR-SN;26,41;6,36
POLR3GL;6,75;17,73
PARP16;2;5,69
PARP14;5,76;0,64
IGLL3P;0;0
PARP12;1,36;0,11
PARP10;0;0
PARP11;3,1;11,58
EVL;4,42;41,31
EVC;0,64;1,01
ZNF451;14,75;13,68
ZNF454;0,09;0,22
BACH2;0,71;12,22
BACH1;11,51;13,46
PAM16;4,8;2,85
WSB1;47,26;241,71
RASEF;1,48;0,14
KCNIP4;0,6;3,78
KCNIP3;0,03;0,06
KCNIP2;0,75;4,15
KCNIP1;0,19;5,97
MOGAT1;0,2;0
PRO1768;0;0
RPS6KA1;4,86;1,38
RPS6KA2;2,25;11,09
RPS6KA3;6,31;11,53
RPS6KA4;0,55;0,6
RPS6KA5;0,97;2,46
RPS6KA6;4,98;6,87
FTCD;0,02;0,06
MINPP1;12,14;9,15
METTL2B;16,34;16,71
GANAB;76,33;44,33
ZWILCH;50,59;19,55
MT2A;0,96;0,84
RGPD2;1,61;3,72
RGPD3;0,37;0,28
RGPD1;1,54;4,07
RGPD6;2,08;2,24
RGPD4;0,46;0,36
RGPD5;1,94;2,17
RGPD8;1,61;1,98
SLCO1B1;0,23;0,28
METTL23;23,81;12,88
METTL22;3,98;2,9
METTL20;0,3;0,87
FAM176A;0,23;0,1
MYL6B;6,63;13,93
SPNS1;0,66;0,86
RAB2A;40,91;58,02
RAB2B;9,5;16,17
SPNS2;0,78;0,59
MIR3714;0;0,29
FRRS1;2,18;0,46
ARHGEF17;0,2;1,26
ETNK2;2,05;2,64
ETNK1;13,51;29,15
HEXDC;0,53;1,11
CA14;17,83;6,52
CA13;0,65;0,32
CA12;1,08;4,61
CA11;2,02;5,04
CA10;0,17;0,83
RAB20;3,95;0,04
RAB21;13,43;17,44
RAB23;9,98;8,64
RAB24;1,66;3,39
RAB25;5,15;0,15
RAB26;0,04;0,14
GLRA3;0,06;0,45
GLRA2;0,01;6,12
UBA7;0;0,25
DZIP1L;0,59;1,14
GLRA4;0,19;0,15
PPP2R3B;0,25;0,29
NTAN1;26,93;10,56
PPP2R3A;5,86;12,19
NQO2;18,66;7,37
NQO1;44,32;3,85
SFMBT1;5,92;6,61
SFMBT2;1,28;1,98
FLJ35220;0,11;1,61
LOC100128338;0,43;0,62
LEFTY2;17,3;0,08
LEFTY1;111,62;0,25
ARRDC4;7,91;19,73
ARRDC1;0,21;0,7
ARRDC2;0,28;0,14
ARRDC3;1,41;80,3
FAM120AOS;13,15;13,6
SH3BP4;9,89;4,87
KIAA0930;5,42;9,05
RABGAP1L;6,01;3,48
ELK3;3,57;0,71
LRDD;0,1;0,15
ELK1;5,48;3,85
ELK4;4,5;2,73
STRADA;4,71;8,95
STRADB;26,92;23,71
SH3BP1;0,68;0,15
CEP97;4,44;14,75
LCN10;0,11;0
TRAF3IP3;0,4;0,14
TRAF3IP2;3,5;0,99
TRAF3IP1;4,66;5,59
LOC401097;0,12;0,17
LOC401093;0,11;0,25
PIGP;6,42;4,52
LOC400940;0,08;1,67
CD164L2;0,04;0
TMEM212;0,89;1,55
SHISA6;0,45;2,28
TMEM194B;1,75;1,23
TMEM217;0,23;0,11
TMEM216;8,37;5,48
SHISA2;1,63;11,71
SHISA3;0,77;0,31
COX10;6,19;3,67
COX11;27,39;17,41
TMEM219;7,6;9,38
TMEM218;6,29;8,93
ARPP21;0;1,32
COX15;8,66;8,11
COX16;34,58;21,61
COX17;37,19;21,52
BET1;12,68;6,86
ALCAM;16,12;6,56
TPM4;253,71;85,51
TPM3;43,04;12,63
TPM2;26,85;1,03
TPM1;196,62;25,11
ETF1;99,74;32
FBXW9;0,18;0,24
FOXB1;0;0,02
FOXB2;0;0
FBXW4;2,87;0,87
FBXW5;0,08;0,36
FBXW7;9,62;12,28
TGFBR3;0,99;0,71
TGFBR2;4,14;0,42
TGFBR1;18,07;44,52
SH3RF2;0,04;0,19
SH3RF3;0,13;1,02
SH3RF1;5,29;7,61
TPMT;15,17;4,11
YKT6;23,87;19,51
LOC100126784;0,03;0,17
TJP2;18,26;2,32
TJP3;0,13;0,03
TJP1;43,32;19,32
RHPN2;6,08;2,41
LOC100132707;5,25;3,25
TUB;6,07;24,07
TOR1A;19,31;13,68
TOR1B;5,6;6,81
CCT6A;193,69;85,59
CCT6B;0,79;0,79
LOC100329108;112,34;69,74
LOC100329109;3,15;7,65
RPL7A;516,76;515,14
WIBG;11,38;4,13
CANT1;2,96;6,21
PERP;17,07;1,49
PNKP;0,52;1,13
TDRKH;9,74;7,48
PER3;1,83;2,72
PER2;0,68;1,44
PER1;0,31;0,74
PNKD;0,7;1,33
C21orf34;0,02;8,58
C21orf33;18,27;15,77
LOC283663;0,06;0,32
ZNF516;1,32;4,69
KAT5;3,78;7,49
ZNF517;0,1;0,58
PNRC1;4,72;15,38
PNRC2;34,49;33,13
GBA;1,42;2,22
GNAO1;0,9;15,49
GAPDH;470,73;407,88
ACN9;8,91;6,72
C1QTNF3-AMACR;3,9;5,62
PRLR;0,38;0,32
TMEM79;0,09;0,57
TMEM70;13,01;13,32
TMEM71;0,01;0,03
TMEM74;1,6;1,88
DNMBP-AS1;0,27;0,31
FAM86A;6,41;2,62
FAM86C;1,87;0,92
MGC12982;0;0,2
RPUSD4;11,62;5,56
RPUSD1;0,03;0,02
RPUSD2;2,53;1,32
RPUSD3;5,61;2,28
ZFAT;0,94;0,8
ZNF611;2,32;3,9
ZNF610;1,44;6,13
ZNF613;4,8;3,81
ZNF615;2,64;5,3
ZNF614;9,35;6,86
ZNF616;8,36;6,37
SLC3A2;37,42;15,39
ZNF618;5,33;14
SLC3A1;7,39;24,42
MORN4;4,95;12,55
CTDP1;2,37;1,62
GMFG;0,24;0,19
GMFB;52,18;41,27
MGC2889;0,27;0,9
SNORD50A;7,01;0,65
SNORD50B;20,69;4,62
FSCN2;0,01;0,12
FSCN1;4,13;5,57
NLRP14;0,08;0,28
CAMK1D;0,73;6,56
CAMK1G;0,08;1,44
SMCR8;4,48;2,99
SMCR5;0,02;0,05
SMCR7;0,66;1,16
HIST4H4;0;0
PLAG1;5,68;5,62
LOC151009;0,85;2,54
NKRF;7,35;7,19
RDH14;15,95;9,88
RDH16;0;0,1
RDH10;1,96;4,08
RDH11;70,83;32,48
RDH12;0,37;0,06
CYBASC3;0,61;0,58
WDR5B;2,03;5,31
NALCN;0,2;3,79
ZSCAN29;10,41;11,26
ZSCAN20;0,75;1,96
ZSCAN21;8,01;6,65
ZSCAN22;0,45;0,96
ZSCAN23;1,06;3,15
TDRD3;7,32;10,89
TDRD1;0,24;0
C9orf25;2,63;17,33
TDRD7;1,61;3,08
TDRD6;0,09;0,37
TDRD5;0,27;0,01
C9orf21;4,61;1,89
WDR55;4,1;3,72
WDR54;3,76;7,68
MBTPS2;5,99;11,96
WDR52;0,23;4,55
MBTPS1;14,11;16,44
EIF4G3;24,25;31,81
EIF4G2;427,3;404,85
EIF4G1;40,78;16,94
WDR59;10,49;8,66
MFSD9;2,26;3,4
CD151;2,04;1,69
HCST;0,06;0
FAM200A;5,51;7,74
FAM200B;8,82;11,01
RNF103-VPS24;6,55;22,59
MFSD5;3,07;1,87
MFSD6;0,97;3,03
TLK1;22,15;18,5
TLK2;16,68;14,48
USP54;6,99;7,31
USP53;15,22;2,6
USP50;1,56;0,99
USP51;1,83;2,17
PRODH;0,43;0,25
ASCC3;33,13;11,7
ASCC2;4,88;3,85
ASCC1;16,06;12,95
SHKBP1;1,02;1,23
CACNB3;0,49;6,61
CACNB2;0,77;1,45
CACNB1;0,19;2,12
CACNB4;0,51;4,05
ZNF518B;6,02;14,22
ZNF518A;13,45;18,2
TGFBRAP1;4,37;3,97
ANKZF1;5,28;6,63
B3GALNT2;17,46;12,52
B3GALNT1;4,8;6,83
TACC1;3,08;6,2
TACC2;2,66;3,78
TACC3;17,78;10,66
JDP2;1,33;0,44
NHP2;39,88;23,13
KIF20B;27,29;11,84
KIF20A;30,6;16,11
MKI67;27,93;41,72
GNAT3;0,06;0
GNAT2;0,58;0,21
LOC729678;1,7;1,32
SNORA16A;2,19;0,73
SNORA16B;0,6;0,57
ZNF557;1,13;2,68
ZNF554;1,79;2,93
ZNF555;0,98;3,19
ZNF552;5,03;2,69
ZNF550;3,12;4,83
ZNF551;11,14;8,13
ADRM1;2,89;2,12
ZNF558;8,56;15,23
ZNF559;5,09;8,29
CACNG2;0;1,7
PCDH8;0,02;0,75
PCDH9;0,08;4,32
RPL26L1;24,95;19,09
RPL38;705,62;371,27
RPL39;1621,79;1311,43
RPL36;13,99;18,81
PCDH1;3,08;1,84
RPL34;413,38;324,76
RPL35;121,81;103,82
RPL32;217,98;197,01
RPL30;955,34;618,45
PCDH7;0,55;4,14
CACNG6;0,12;0,08
ATF5;3,68;2,51
ATF4;163,3;76,2
ATF7;4,11;5,34
ATF6;16,94;14,17
ATF1;9,34;6,33
ATF3;9,53;4,6
ATF2;13,5;29,26
LOC642852;1,41;9,62
PPAP2C;2,37;0,02
PPAP2B;8,04;22,26
PPAP2A;24,11;6,87
BUB1B;82,13;29,36
CTTNBP2;4,76;6,73
KIAA0317;12,05;15,07
PPWD1;27,28;19,34
KIAA0319;0,14;1,53
SDF4;1,3;1,9
SDF2;18,97;15,29
PTGER4;0,19;0,18
PTGER2;0,19;0,12
PTGER3;0,07;1,1
B3GALTL;3,79;5,05
B3GALT5;3,74;0,35
B3GALT6;1,31;3,59
CTNNAL1;50,65;21,39
B3GALT1;6,51;3,14
B3GALT2;0,03;6,11
MDFIC;3,3;3,29
STK3;9,74;3,93
STK4;13,42;9,93
LOC648987;0,1;0,32
SNRNP25;8,13;9,5
SNRNP27;21,52;29,41
NKG7;0,02;0,07
LOC100506046;7,84;6,48
DRP2;0,09;1,98
ANKS3;0,34;0,56
TNFRSF8;0,79;0
TNFRSF9;0;0,08
ANKS6;5,41;3,36
GUCY2C;1,47;0,06
GUCY2F;0,06;0,08
SENP8;2,71;2,56
SENP7;2,8;32,81
SENP6;25,47;23,02
SENP5;10,11;12,14
SENP3;12,32;9,34
